sample 0,sample 1,sample 2,sample 3,sample 4,sample 5,sample 6,sample 7,sample 8,sample 9,sample 10,sample 11,sample 12,sample 13,sample 14,sample 15,sample 16,sample 17,sample 18,sample 19,sample 20,sample 21,sample 22,sample 23,sample 24,sample 25,sample 26,sample 27,sample 28,sample 29,sample 30,sample 31,sample 32,sample 33,sample 34,sample 35,sample 36,sample 37,sample 38,sample 39
-0.030281,0.013771,-0.006203,-0.014633,0.048912,0.013641,-0.032341,-0.048668,-0.011932,0.034187,0.023918,0.058983,0.017502,0.029472,0.01757,-0.027176,0.010361,0.052773,0.012268,-0.031227,-0.017006,0.019592,-0.019791,-0.046509,0.023315,-0.034615,-0.059296,-0.004395,0.010521,-0.002144,0.039925,0.008415,-0.063095,-0.003738,-0.015167,-0.018341,-0.010841,0.104561,0.022629,-0.024269
-0.019241,-0.001587,-0.007172,-0.030716,0.046356,0.001701,-0.026352,-0.049736,0.007088,0.022491,0.038261,0.061653,-0.002983,0.034164,0.022598,-0.032074,0.009438,0.046768,0.016884,-0.048759,0.000458,0.012589,-0.018471,-0.044258,0.029137,-0.032455,-0.072243,0.001465,0.002487,-0.004898,0.050148,-0.001152,-0.054497,0.001801,-0.009651,-0.030502,-0.014008,0.103729,0.024338,-0.026772
-0.005913,-0.012482,-0.006363,-0.046883,0.035492,-0.004921,-0.027969,-0.046677,0.028046,0.006134,0.045189,0.059341,-0.025879,0.041588,0.019669,-0.032303,0.007347,0.038284,0.019043,-0.060722,0.019989,0.004913,-0.015732,-0.037827,0.033501,-0.021538,-0.077843,0.013474,-0.010971,-0.006767,0.058792,-0.009636,-0.041611,0.012253,-0.005241,-0.043549,-0.014801,0.097374,0.028313,-0.021652
0.006866,-0.018158,-0.002197,-0.061256,0.021675,-0.008926,-0.027191,-0.040619,0.044708,-0.009789,0.046906,0.053078,-0.04702,0.040985,0.014854,-0.025688,0.004532,0.02771,0.017296,-0.066994,0.040199,-0.005371,-0.014412,-0.028488,0.039848,-0.008659,-0.075653,0.025284,-0.023529,-0.009941,0.057739,-0.018051,-0.022964,0.019661,0.000153,-0.056183,-0.015671,0.080475,0.029533,-0.019981
0.012566,-0.024803,0.00676,-0.066406,0.010109,-0.017555,-0.017067,-0.029251,0.055435,-0.019035,0.045631,0.04007,-0.060188,0.031189,0.01162,-0.019928,-0.003082,0.010902,0.01152,-0.064316,0.053436,-0.012428,-0.01355,-0.013336,0.048035,0.00518,-0.066002,0.030289,-0.032982,-0.011505,0.047256,-0.028435,-0.003639,0.025543,0.008469,-0.062767,-0.014908,0.056877,0.029106,-0.025459
0.013695,-0.029602,0.01059,-0.068657,-0.002365,-0.019852,-0.005325,-0.014404,0.0616,-0.0243,0.043053,0.021927,-0.066208,0.018089,0.008759,-0.01548,-0.011986,-0.009399,0.00473,-0.053474,0.064125,-0.012428,-0.009377,0.001129,0.05426,0.016571,-0.045624,0.031822,-0.038651,-0.014915,0.035728,-0.034325,0.01165,0.033592,0.011971,-0.063286,-0.011719,0.030319,0.024673,-0.028877
0.011673,-0.028229,0.013107,-0.071747,-0.015244,-0.015244,0.006584,-5.34E-05,0.060844,-0.030785,0.036819,-0.000259,-0.067062,0.000862,0.005417,-0.010216,-0.015289,-0.025429,-0.003258,-0.041512,0.072266,-0.01445,-0.003929,0.010536,0.058563,0.021889,-0.019646,0.031303,-0.041405,-0.011589,0.020844,-0.035927,0.025932,0.036179,0.006348,-0.055359,-0.013794,0.000977,0.013123,-0.031815
0.006218,-0.019211,0.017082,-0.071213,-0.024658,-0.01252,0.017082,0.017754,0.050133,-0.035172,0.025711,-0.023819,-0.063492,-0.01757,0.002548,-0.005722,-0.017632,-0.039146,-0.011185,-0.027191,0.075684,-0.014549,0.000626,0.019882,0.055222,0.023552,0.00769,0.027313,-0.042145,-0.005447,0.005272,-0.036346,0.036652,0.031891,-0.002037,-0.041862,-0.021507,-0.02552,0.002197,-0.038193
0.003525,-0.00087,0.014046,-0.063866,-0.028694,-0.013573,0.022827,0.033508,0.034286,-0.036987,0.012802,-0.041611,-0.055786,-0.03138,-0.004074,0.000237,-0.013359,-0.046295,-0.016823,-0.011726,0.077118,-0.005455,0.007782,0.028175,0.044983,0.024033,0.034393,0.02256,-0.037903,-0.003075,-0.004761,-0.034508,0.044548,0.026855,-0.006584,-0.032944,-0.025414,-0.047256,-0.005089,-0.037399
0.00116,0.021286,0.010757,-0.049683,-0.031136,-0.014771,0.027763,0.039703,0.017067,-0.036514,-0.001839,-0.05085,-0.043877,-0.046425,-0.011444,0.009972,-0.00267,-0.047585,-0.021286,-0.002899,0.07354,0.00489,0.012291,0.035683,0.035362,0.021286,0.0597,0.017883,-0.028633,-0.001022,-0.012337,-0.029915,0.049194,0.018814,-0.009148,-0.022057,-0.028374,-0.060913,-0.011078,-0.028503
